route_id,service_id,trip_headsign,direction_id,shape_id,trip_id,wheelchair_accessible
PURPLE,holiday,Challaghatta,0,s626,t747,1
PURPLE,holiday,Challaghatta,0,s626,t749,1
PURPLE,holiday,Challaghatta,0,s626,t751,1
PURPLE,holiday,Challaghatta,0,s626,t753,1
PURPLE,holiday,Challaghatta,0,s626,t755,1
PURPLE,holiday,Challaghatta,0,s626,t757,1
PURPLE,holiday,Challaghatta,0,s626,t759,1
PURPLE,holiday,Challaghatta,0,s626,t761,1
PURPLE,holiday,Challaghatta,0,s626,t763,1
PURPLE,holiday,Challaghatta,0,s626,t766,1
PURPLE,holiday,Challaghatta,0,s626,t768,1
PURPLE,holiday,Challaghatta,0,s626,t770,1
PURPLE,holiday,Challaghatta,0,s626,t772,1
PURPLE,holiday,Challaghatta,0,s626,t774,1
PURPLE,holiday,Challaghatta,0,s626,t776,1
PURPLE,holiday,Challaghatta,0,s626,t778,1
PURPLE,holiday,Challaghatta,0,s626,t780,1
PURPLE,holiday,Challaghatta,0,s626,t782,1
PURPLE,holiday,Challaghatta,0,s626,t784,1
PURPLE,holiday,Challaghatta,0,s626,t786,1
PURPLE,holiday,Challaghatta,0,s626,t788,1
PURPLE,holiday,Challaghatta,0,s626,t790,1
PURPLE,holiday,Challaghatta,0,s626,t792,1
PURPLE,holiday,Challaghatta,0,s626,t794,1
PURPLE,holiday,Challaghatta,0,s626,t796,1
PURPLE,holiday,Challaghatta,0,s626,t798,1
PURPLE,holiday,Challaghatta,0,s626,t801,1
PURPLE,holiday,Challaghatta,0,s626,t803,1
PURPLE,holiday,Challaghatta,0,s626,t805,1
PURPLE,holiday,Challaghatta,0,s626,t807,1
PURPLE,holiday,Challaghatta,0,s626,t809,1
PURPLE,holiday,Challaghatta,0,s626,t811,1
PURPLE,holiday,Challaghatta,0,s626,t812,1
PURPLE,holiday,Challaghatta,0,s626,t814,1
PURPLE,holiday,Challaghatta,0,s626,t816,1
PURPLE,holiday,Challaghatta,0,s626,t818,1
PURPLE,holiday,Challaghatta,0,s626,t820,1
