route_long_name,route_short_name,agency_id,route_desc,route_type,route_id
Anjanapura → Kempegowda Bus Station (ANP-KBS),215-N,BMTC,"Via Basavanagudi Police Station, KR Market, Konanakunte Cross",3,4340
Anjanapura → Kempegowda Bus Station (ANP-KBS),215-ND,BMTC,"Via Banashankari, Avalahalli",3,4241
Anjanapura → Kengeri Bus Station (ANP-KGR),5F,BMTC,ANP-KGR,3,8323
Annahalli → KR Market (Kalasipalya) (ANH-KMT),226-VB,BMTC,"Via Kengeri Bus Station, Bidadi",3,2301
Annapoorneshwarinagara → GKVK (ANPN-GKVK),502-E,BMTC,"Via Summanahalli, Goraguntepalya, BEL Circle",3,6246
Annapoorneshwarinagara → KR Market (Kalasipalya) (ANPN-KMT),238-S,BMTC,"Via Srigandhada Kaval, Nagarabhavi Circle, Vijayanagara Garage, Mysore Road Bus Station",3,7446
Annapoorneshwarinagara → Kempegowda Bus Station (ANP-KBS),246,BMTC,"Via Sunkadakatte, Kamakshipalya, 1st Cross Magadi Road, Srigandhada Kaval",3,8848
Annapoorneshwarinagara → Kempegowda Bus Station (ANP-KBS),MBS-12,BMTC,"Via Mayohall, Kempegowda Bus Station, Sunkadakatte, Vidhana Soudha Karnataka High Court, Domlur",3,7130
Annapoorneshwarinagara → Kempegowda Bus Station (ANPS-KBS),252-RA,BMTC,"Via Jalahalli Cross, Peenya 2nd stage, Yeshawanthapura Bus Station",3,5197
Annapoorneshwarinagara → Marathahalli Bridge (ANPN-MRHB),MBS-12,BMTC,"Via Mayohall, Kempegowda Bus Station, Sunkadakatte, Vidhana Soudha Karnataka High Court, Domlur",3,3315
Annapoorneshwarinagara → Peenya 2nd Stage (ANP-PSS),MBS-12,BMTC,"Via Mayohall, Kempegowda Bus Station, Sunkadakatte, Vidhana Soudha Karnataka High Court, Domlur",3,7126
Anugondanahalli → KR Market (AGH-KMT),304-N,BMTC,"Via Halasuru, Dodda Dunnasandra Cross, Hoodi",3,4370
Anugondanahalli → KR Market (AGH-KMT),329-F,BMTC,"Via HAL Main Gate, Varthuru Govt College, Muthsandra, Domlur",3,7064
Anugraha Badavane (Bilekahalli) → Banashankari Bus Station (25B-AGL-BSK),25-B-DOWN,BMTC,25B-AGL-BSK,3,14102
Anugraha Badavane (Bilekahalli) → Kempegowda Bus Station (AGL-KBS),25-B,BMTC,"Via Jayanagara 4th Block, Mahadeshwara Nagara, Lalbagh Main Gate",3,12899
Anugraha Badavane (Bilekahalli) → Vijayanagara Garage (ABG-VTTMC),MF-45,BMTC,"Via Veerabhadra Nagara, Nagarabhavi Circle, Vijayanagara",3,11972
Arahalli → KR Market (ARH-KMT),317-Q,BMTC,"Via Nandagudi, Hosakote Govt Hospital, Halasuru, KR Pura Market",3,5980
Aralalusandra → KR Market (Kalasipalya) (ARLS-KMT),213-M,BMTC,"Via Banashankari, Kaggalahalli, Muthugadahalli, Hugarapalya, Kaggalipura",3,3436
Aralimaradapalya → Kempegowda Bus Station (AMP-KBS),242-Y,BMTC,"Via Tavarekere, Sunkadakatte",3,5316
Arasanahalli → KR Market (ARSH-KMT),306-P,BMTC,"Via Halasuru, Hope Farm, Pura",3,5640
Are Bannimangala → Kempegowda Bus Station (ABML-KBS),289-CB,BMTC,"Via Bagalur, Hebbala, RM Guttahalli, Yelahanka Santhe Circle",3,9288
Arehalli → KR Market (ARH-KMT),304,BMTC,"Via Halasuru, Dodda Dunnasandra, Hope Farm",3,5282
Arehalli → Kempegowda Bus Station (AHL-KBS),304-X,BMTC,"Via Dodda Dunnasandra Cross, Hope Farm, Halasuru",3,4373
Arenur → KR Market (Kalasipalya) (ARN-KMT),342-V,BMTC,"Via Dommasandra, Lalbagh Main Gate, Sarjapura, Agara Junction",3,6144
Arishinakunte → Adakimaranahalli (ASK-AKMV),257-G,BMTC,"Via Yeshawanthapura Bus Station, Makali, 8th Mile Dasarahalli",3,11002
Arishinakunte → Ravuthanahalli (ASK-RVT),257-C,BMTC,"Via Yeshawanthapura Bus Station, 8th Mile Dasarahalli, Madanayakanahalli",3,6114
Army Public School Kamaraja Road → KR Market (ARMY-KMT),315,BMTC,ARMY-KMT,3,10604
Army Public School Kamaraja Road → Kempegowda Bus Station (ARMY-KBS),ARMY-SBS-KBS,BMTC,Via Shivajinagara Bus Station,3,13610
Army Public School Kamaraja Road → Mayohall (APS-MYH),APS-MYH,BMTC,Via nan,3,13697
Army Public School Kamaraja Road → Neelasandra Rose Garden (APS-NRG),144-G,BMTC,"Via Rahamathnagara, Austin Town, Mayohall, Shivajinagara Bus Station",3,13706
Ashoka Pillar → Pramod Layout (ASKP-PMLO),43-H ASP-PLO,BMTC,Via Hosakerehalli  Junction,3,1782
Ashraya Badavane → Depot-35 Gate (ABDVN-D35G),242-CN,BMTC,ABDVN-D35G,3,3411
Ashraya Badavane → Kempegowda Bus Station (ABDVN-KBS),241-CN,BMTC,"Via Gollarahatti, 1st Cross Magadi Road",3,3408
Ashwathnagara → Depot-14 Gate (ATN-D14G),ASN-D14G,BMTC,Via CBI,3,8824
Ashwathnagara → Koramangala Bus Station (ASW-KRMTTMC),500-DK,BMTC,"Via Madivala Masidi, Central Silk Board, Marathahalli Bridge, Nagawara Junction, Tin Factory",3,11034
Aspire bee School → Attibele Bus Stand (ABS-ATB),328-H,BMTC,"Via Sarjapura, Kadugodi Bridge, Dommasandra",3,8499
Attibele Bus Stand → Anekal (ATB-ANK),399-F,BMTC,"Via Haldenahalli, Attibele, Besthamanahalli, Gunjuru, Sarjapura, Hope Farm, Dommasandra",3,9640
Attibele Bus Stand → Aspire bee School (ATB-ABS),328-H,BMTC,"Via Sarjapura, Kadugodi Bridge, Dommasandra",3,8495
Attibele Bus Stand → Avalahalli BDA Park Girinagara (ATB-ALH),KBS-3A,BMTC,Via Electronic City,3,6182
Attibele Bus Stand → BEML Layout 5th stage (ATB-BEML5),600-F,BMTC,"Via Chandapura, Electronic City, Central Silk Board",3,4909
Attibele Bus Stand → Banashankari Bus Station (ATB-BSK),600-F,BMTC,"Via Chandapura, Electronic City, Central Silk Board",3,2610
Attibele Bus Stand → Brigade Road (ATB-BRGD),G-3,BMTC,Via Bommanahalli,3,8976
Attibele Bus Stand → Daadinayakana Doddy (ATB-DND),323-DN,BMTC,"Via Sarjapura, Siddanahalli, Chikka Thirupathi",3,6173
Attibele Bus Stand → Depot-27 Gate (ATB-D27),399-FG,BMTC,ATB-D27,3,9601
Attibele Bus Stand → Depot-38 Gate (ATB-HBGD-D38G),360,BMTC,"Via Electronic City, Lakkasandra, Bommanahalli, Madivala, Chandapura",3,2586
Attibele Bus Stand → Depot-38 Gate (ATB-HLG-D38G),D38G-HLG-ATB,BMTC,"Via Heelalige, Chandapura",3,2588
Attibele Bus Stand → Depot-41 Gate (ATB-D41G),328-H,BMTC,"Via Sarjapura, Kadugodi Bridge, Dommasandra",3,3058
