stop_name,stop_id,stop_lat,stop_lon
Shrinivagilu Junction,26646,12.93927,77.63235
Shrinivagilu Junction,34683,12.93917,77.63229
Shrunga School Devangondi,26409,12.97406,77.83262
Shrunga School Devangondi,34578,12.97414,77.8326
Shrusti School Yalahanka,26411,13.10706,77.57596
Shrusti School Yalahanka,34579,13.10703,77.57594
Shyanumangala,26413,12.79432,77.43282
Shyanumangala,34580,12.79482,77.43213
Shylendra Doddy,26415,12.80071,77.55289
Shylendra Doddy,34581,12.80117,77.55338
Siddabhovipalya,26419,12.85456,77.37182
Siddaganga College,26421,13.08227,77.39278
Siddaganga College,34584,13.08213,77.39274
Siddaiah Puranik Road Junction,20890,12.98217,77.5373
Siddaiah Puranik Road Junction,20891,12.98212,77.53716
Siddana Hosahalli,26426,13.05685,77.46017
Siddana Hosahalli,34586,13.05682,77.46014
Siddanahalli,34589,12.89352,77.91363
Siddanapalya,26434,12.7247,77.65966
Siddanapalya,34591,12.72474,77.65947
Siddapura,22487,12.95634,77.73191
Siddapura,22488,12.95607,77.73057
Siddapura,26437,12.95637,77.73108
Siddapura Ashoka Pillar,21602,12.94633,77.58873
Siddapura Ashoka Pillar,21603,12.94621,77.58879
Siddapura Cross,26438,12.69298,77.45819
Siddapura Cross,35975,12.69294,77.45819
Siddapura Naknalhalli,26440,13.12949,77.86873
Siddapura Nallurhalli,34593,13.12947,77.86869
Siddartha Badavane,26442,12.99557,77.50862
Siddartha Badavane,34594,12.99552,77.50865
Siddartha International School,26444,13.02854,77.48842
Siddartha International School,34595,13.02848,77.48843
Siddartha Nagara,26446,13.08098,77.80616
Siddartha Nagara,34596,13.08105,77.80643
Siddartha School Cross,26448,13.02607,77.48893
Siddartha School Cross,34597,13.02611,77.48905
Siddayyana Doddy,26450,12.71708,77.59416
Siddayyana Doddy,34598,12.71713,77.59397
Sidedahalli,21178,13.06256,77.49523
Sidedahalli,21179,13.06258,77.49527
Sidi Hoskote,34599,12.72972,77.68748
Sidi Hoskote,34601,12.72971,77.68767
Siemens,21180,12.84556,77.66215
Siemens,23992,12.84542,77.66228
Siemens Bank,26456,13.14916,77.49674
Siemens ‌ Bank,34602,13.14911,77.49667
Silk Farm,21758,12.81704,77.78543
Silk Farm,22490,12.81695,77.78539
Silk Institute Metro Station,35891,12.8616,77.52993
Silk Institute metro station,36170,12.86182,77.52985
Siluvepura,26464,13.11426,77.50106
Siluvepura,34605,13.1143,77.50104
Simpadipura,26465,13.2275,77.41276
Sindhi Colony,23437,12.99562,77.61663
Sindhi Colony,23752,12.9962,77.6177
Sindhi Colony,36722,12.99557,77.61708
Sindhi High School Kuvempu Road,26471,13.04994,77.59846
Sindhi High School Kuvempu Road,34608,13.05,77.59837
Singahalli,26473,13.16158,77.72403
Singahalli,34609,13.16164,77.72407
Singaianapalya Phoenix,22492,12.9956,77.69531
Singaianapalya Phoenix,22493,12.99542,77.6954
Singanayakanahalli,26476,13.14762,77.56533
Singanayakanahalli,34610,13.14765,77.56529
Singanayakanahalli Gate,26477,13.14767,77.56972
Singanayakanahalli Gate,35778,13.1477,77.56982
Singapura,26479,13.07965,77.53834
Singapura,34611,13.07975,77.53823
Singapura LT,26481,13.07498,77.53999
Singapura LT,34612,13.07501,77.53983
Singarahalli,26483,13.22688,77.6254
Singarahalli,34613,13.22683,77.62534
Singarapura,26487,13.09957,77.74372
Singarapura,34615,13.09961,77.74376
Singasandra,21181,12.87886,77.64651
